ADD_PT_ID,X,Y,LONGITUDE,LATITUDE,NAME,ADDRESS
531061,303626.926,4844892.092,-79.51437393,43.7459913,Station 15,2753 Jane St
1027342,297968.364,4841358.462,-79.5845861,43.71415306,Station 14,321 Rexdale Blvd
4616609,320220.661,4851221.675,-79.30815775,43.80279737,Station 24,3061 Birchmount Rd
4840624,323861.695,4849713.376,-79.26296341,43.78914553,Station 29,4560 Sheppard Ave E
5336734,307479.187,4846648.734,-79.4665348,43.76179944,"Station 53, Headquarters",4330 Dufferin St
7009492,299637.79,4837246.733,-79.5638295,43.67715585,Station 13,555 Martin Grove Rd
7171806,323197.326,4845463.223,-79.27136278,43.75090581,"Station 20, District 2 Office",2430 Lawrence Ave E
7979626,313388.377,4836977.418,-79.39329824,43.67470087,Station 45,135 Davenport Rd
7994003,307211.06,4834566.38,-79.46991683,43.6530431,Station 32,9 Clendenan Ave
8100063,300801.075,4831268.329,-79.54935698,43.62334958,Station 39,155 The East Mall
8292801,307476.112,4841203.623,-79.46659857,43.7127864,Station 11,1135 Caledonia Rd
9011645,326832.665,4844485.779,-79.22626165,43.74200896,Station 22,3100 Eglinton Ave E
9246505,309929.015,4845076.115,-79.43612367,43.74763115,Station 54,4135 Bathurst St
9313399,309269.267,4848259.985,-79.44428605,43.77628552,"Station 55, District 5 Office",5700 Bathurst St
9602654,313342.971,4849801.689,-79.39365913,43.79013561,Station 56,3300 Bayview Ave
9796836,303785.997,4839850.245,-79.51238442,43.7005987,Station 10,2015 Lawrence Ave W
10313343,320044.311,4838366.541,-79.31071499,43.68709776,Station 46,105 Cedarvale Ave
14627357,300871.552,4845870.462,-79.54858893,43.75477954,Station 51,61 Toryork Dr
11048269,321015.076,4843086.44,-79.29853205,43.7295623,Station 21,887 Pharmacy Ave
13497638,311139.655,4832451.57,-79.42123862,43.63398508,Station 35,265 Manitoba Dr
13498086,311598.61,4847856.472,-79.41535802,43.77264445,Station 58,12 Canterbury Pl
14120188,324425.84,4841812.544,-79.25624037,43.7180138,Station 47,3600 St Clair Ave E
14233307,307478.99,4837370.752,-79.46657755,43.67827717,"Station 30, District 3 Office",100 Turnberry Ave
14245877,331024.939,4847703.338,-79.17405342,43.77082674,Station 26,4331 Lawrence Ave E
20110476,329838.107,4851487.882,-79.18862319,43.80494086,Station 25,8500 Sheppard Ave E
31355,316833.989,4839004.265,-79.35052277,43.69289697,Station 41,1300 Pape Ave
351918,323442.671,4838583.672,-79.26855411,43.68897563,"Station 42, District 4 Office",1535 Kingston Rd
354400,324643.907,4845830.964,-79.25338672,43.75417905,Station 28,2900 Lawrence Ave E
851480,317802.466,4835665.477,-79.33858864,43.66282759,Station 43,126 Pape Ave
982438,297855.539,4844265.324,-79.58602386,43.74031724,Station 12,1535 Albion Rd
1007854,303054.386,4829425.001,-79.5214274,43.60675694,Station 38,259 Horner Ave
4236992,325466.636,4853590.517,-79.24287324,43.82400134,Station 27,900 Tapscott Rd
4435726,307025.49,4843490.769,-79.47218166,43.73337528,Station 52,170 Plewes Rd
5900028,311785.888,4836015.18,-79.41318346,43.66605621,Station 34,674 Markham St
7257537,303818.81,4835320.744,-79.51197017,43.659836,Station 31,4219 Dundas St W
7754918,314624.052,4842227.961,-79.37787537,43.72193765,Station 57,2075 Bayview Ave
8166363,311501.777,4840082.545,-79.41665392,43.70266089,Station 18,643 Eglinton Ave W
8313055,314732.43,4834506.025,-79.3766754,43.65243825,Station 40,58 Richmond St E
8417820,310435.9,4835531.492,-79.42992848,43.66171372,Station 33,760 Dovercourt Rd
8823994,317609.322,4848061.67,-79.3406893,43.77441216,Station 23,115 Parkway Forest Dr
8855496,310416.251,4833355.994,-79.4301948,43.64213168,Station 37,1288 Queen St W
10367901,301032.7,4845885.089,-79.54659124,43.75492063,17 Post,50 Toryork Dr
14069050,313771.434,4832867.105,-79.38861302,43.63769031,Station 36,339 Queens Quay W
14076406,316157.029,4831505.52,-79.35907451,43.62540075,Station 59,235 Cibola Ave
13969962,313992.66,4832886.414,-79.38587405,43.63786985,Marine Unit,259 Queens Quay W
6628399,333102.064,4848437.251,-79.14821782,43.77736567,26 Post,5316 Lawrence Ave E
8492156,311854.808,4833623.953,-79.41236111,43.64453219,Station 09,866 Richmond St W
10856659,305219.629,4842505.629,-79.49459924,43.72451075,"01 Post, District 1 Office",1300 Wilson Ave
